schedule_season,schedule_week,team,elo_pre,elo_post
2019,6,CAROLINA PANTHERS,1500.0039185880016,1500.0070422758379
2019,6,CINCINNATI BENGALS,1499.9890601013556,1499.9864981263347
2019,6,CLEVELAND BROWNS,1499.9976168900216,1499.9947085809558
2019,6,DALLAS COWBOYS,1499.9998413711098,1499.998394821228
2019,6,DENVER BRONCOS,1499.995115855054,1499.9977492094265
2019,6,DETROIT LIONS,1500.0011935380357,1500.0002774001293
2019,6,GREEN BAY PACKERS,1500.007801612981,1500.0087177508874
2019,6,HOUSTON TEXANS,1500.0021151065594,1500.005729288141
2019,6,JACKSONVILLE JAGUARS,1499.9977408940388,1499.9941268364332
2019,6,KANSAS CITY CHIEFS,1500.0079116794338,1500.0042974978521
2019,6,LOS ANGELES CHARGERS,1499.9971732490617,1499.9935590907323
2019,6,LOS ANGELES RAMS,1500.0035840489547,1499.999969982628
2019,6,MINNESOTA VIKINGS,1500.0036348581875,1500.006268162881
