season,week,team,off_epa,off_sr,pass_rate,rush_rate,air_yds,qb_epa,qb_hit,sacks,plays,def_epa,def_sr,off_epa_r8,off_sr_r8,def_epa_r8,def_sr_r8,pass_rate_r8,rush_rate_r8,qb_epa_r8
2023,9,SEA,-0.35719535,0.25,0.49275362,0.20289855,7.821429,-0.35719535,4.0,4.0,69,0.1569406,0.50549453,-0.04298526409547776,0.45111503824591637,-0.031895814812742174,0.42459213733673096,0.4890938103199005,0.281344648450613,-0.04298526409547776
2023,10,SEA,0.09882454,0.4563107,0.5192308,0.24038461,5.9148936,0.09882454,5.0,1.0,104,0.10685103,0.4375,-0.023136565811000764,0.4447210393846035,-0.042202517739497125,0.41677963733673096,0.49333589524030685,0.28014272451400757,-0.023136565811000764
2023,11,SEA,-0.030706935,0.34146342,0.5121951,0.25609756,8.1,-0.030706935,7.0,2.0,82,-0.06973464,0.41463414,-0.03873607178684324,0.4235452711582184,-0.047707072109915316,0.4084823206067085,0.4921428933739662,0.2822636142373085,-0.03873607178684324
2023,12,SEA,-0.1599354,0.4520548,0.5068493,0.26027396,10.740741,-0.1599354,9.0,6.0,73,0.119746365,0.47619048,-0.07937788811977953,0.41347603499889374,-0.03432657057419419,0.4217098355293274,0.5003915280103683,0.2744752801954746,-0.07937788811977953
2023,13,SEA,0.13904454,0.43678162,0.54022986,0.2413793,5.634146,0.13904454,6.0,1.0,87,0.19178775,0.5192308,-0.04526952689047903,0.41191431507468224,0.038382192607969046,0.4454204998910427,0.511760838329792,0.26116943173110485,-0.04526952689047903
2023,14,SEA,-0.024067322,0.3918919,0.5675676,0.22972973,7.580645,-0.024067322,4.0,4.0,74,0.12601472,0.43661973,-0.041356667526997626,0.405668243765831,0.05739302607253194,0.4446408227086067,0.5085788816213608,0.2579089030623436,-0.041356667526997626
2023,15,SEA,0.09365049,0.43037975,0.4625,0.2875,7.4848485,0.09365049,3.0,2.0,80,0.069378525,0.48235294,-0.029059652937576175,0.4013671204447746,0.08449461543932557,0.46276626735925674,0.516044158488512,0.24349917843937874,-0.029059652937576175
2023,16,SEA,0.1655962,0.46052632,0.56578946,0.25,6.4444447,0.1655962,3.0,3.0,76,0.08114877,0.4878049,-0.009348654421046376,0.4024260602891445,0.09776663966476917,0.4699784368276596,0.5208894647657871,0.24603296257555485,-0.009348654421046376
2023,17,SEA,0.08516548,0.46376812,0.5362319,0.17391305,6.818182,0.08516548,9.0,1.0,69,0.19392401,0.53488374,0.045946448808535933,0.42914707586169243,0.10238956660032272,0.47365208715200424,0.5263242460787296,0.24240977503359318,0.045946448808535933
2023,18,SEA,0.10604293,0.47058824,0.47058824,0.3382353,6.107143,0.10604293,0.0,0.0,68,0.07591435,0.4090909,0.046848747646436095,0.43093176931142807,0.0985224824398756,0.4701009504497051,0.5202439278364182,0.25464111007750034,0.046848747646436095
2024,1,SEA,-0.047614582,0.47058824,0.40697673,0.3372093,6.68,-0.047614582,7.0,2.0,86,-0.13299543,0.37634408,0.04473529173992574,0.447072371840477,0.09061488416045904,0.46531469374895096,0.5070916302502155,0.2647800799459219,0.04473529173992574
2024,2,SEA,0.06128624,0.52873564,0.5862069,0.1954023,8.204545,0.06128624,5.0,3.0,87,0.026519917,0.4883721,0.07238799682818353,0.4566574767231941,0.07896157819777727,0.46683739498257637,0.5170113332569599,0.2566711213439703,0.07238799682818353
2024,3,SEA,-0.0712196,0.4177215,0.475,0.3,5.470588,-0.0712196,7.0,3.0,80,-0.36596292,0.32911393,0.046104979468509555,0.4542749635875225,0.00924274418503046,0.4430727884173393,0.5088576003909111,0.26399870961904526,0.046104979468509555
2024,4,SEA,0.08059311,0.5233645,0.682243,0.1588785,5.446429,0.16374496,8.0,3.0,107,0.33178675,0.5735294,0.05918753333389759,0.47070903703570366,0.0349642476066947,0.46018650010228157,0.5231920257210732,0.2551423069089651,0.06958151422441006
2024,5,SEA,-0.17098054,0.5125,0.6375,0.0875,4.95,-0.10218308,8.0,7.0,80,-0.007787896,0.5,0.026108654215931892,0.48097406700253487,0.02531844499753788,0.4623923823237419,0.545067023485899,0.23014230746775866,0.045102317817509174
2024,6,SEA,0.02909329,0.45360824,0.58762884,0.20618556,8.692307,0.02909329,5.0,1.0,97,0.2575401,0.5243902,0.009045790182426572,0.4801093079149723,0.047367361665237695,0.46696554869413376,0.5477969460189342,0.22466550301760435,0.028039453784003854
2024,7,SEA,0.17064399,0.45454547,0.46753246,0.3116883,13.034483,0.17064399,6.0,1.0,77,-0.1402934,0.48913044,0.019730603555217385,0.47895647585392,0.005590184882748872,0.46124638617038727,0.5392095185816288,0.24188741017132998,0.03872426715679467
2024,8,SEA,-0.09908512,0.4852941,0.5294118,0.20588236,2.9310346,-0.09908512,5.0,1.0,68,0.18849628,0.5268817,-0.005910402862355113,0.4807947091758251,0.019662925333250314,0.47597023472189903,0.5465624630451202,0.2253432935103774,0.013083260739222169
2024,9,SEA,-0.15450998,0.43564355,0.47058824,0.30392158,10.264706,-0.15450998,10.0,7.0,102,-0.04001065,0.41489363,-0.01927232719026506,0.4764266237616539,0.03128602245124057,0.4807889275252819,0.5545139014720917,0.22118232678622007,-0.0002786635886877775
2024,11,SEA,0.061120827,0.5,0.527027,0.2837838,8.875,0.061120827,6.0,4.0,74,-0.0054028137,0.46753246,-0.019293003948405385,0.47283466905355453,0.027295681124087423,0.47818397358059883,0.5471164137125015,0.23223001416772604,-0.00029934034682810307
2024,12,SEA,-0.03386247,0.4025974,0.5,0.2948718,6.032258,-0.03386247,6.0,5.0,78,-0.1647548,0.3888889,-0.014623362803831697,0.4709441550076008,0.0524466973147355,0.48565584421157837,0.5502414144575596,0.2315889885649085,0.0043703007977455854
2024,13,SEA,-0.03463822,0.37974682,0.475,0.3,6.0,-0.03463822,6.0,3.0,80,-0.13377956,0.40243903,-0.02902727876789868,0.45299194753170013,-0.005749091098550707,0.464269544929266,0.524336040019989,0.24922917690128088,-0.020427596056833863
2024,14,SEA,0.09318636,0.5180723,0.37349397,0.38554215,5.233333,0.09318636,2.0,0.0,83,-0.11480299,0.49425286,0.003993584541603923,0.45368848741054535,-0.019125977414660156,0.46355115249753,0.49133528769016266,0.2864844463765621,0.003993584541603923
2024,15,SEA,-0.19319908,0.43421054,0.5714286,0.19480519,6.0,-0.19319908,12.0,7.0,77,0.088356756,0.5375,-0.023792962078005075,0.45126377418637276,-0.040273896302096546,0.465189877897501,0.48931025713682175,0.28506189957261086,-0.023792962078005075
2024,16,SEA,0.038035057,0.52873564,0.55172414,0.18390805,7.72093,0.038035057,8.0,2.0,87,0.12473013,0.5060241,-0.04036907805129886,0.46053754538297653,-0.007145954179577529,0.4673015885055065,0.49983421713113785,0.26908936724066734,-0.04036907805129886
2024,17,SEA,-0.105811365,0.453125,0.43076923,0.35384616,3.2173913,-0.03841963,7.0,3.0,65,-0.15068077,0.3918919,-0.04120985837653279,0.45651640743017197,-0.04954308446031064,0.4504278637468815,0.48750389739871025,0.28758484311401844,-0.03278589155524969
2024,18,SEA,0.18934363,0.5694444,0.41095892,0.32876712,7.962963,0.18934363,3.0,2.0,73,0.094264135,0.49382716,0.0017718425951898098,0.47324151545763016,-0.03275873640086502,0.46029455587267876,0.4800502322614193,0.29069053567945957,0.010195809416472912
2025,1,SEA,-0.08217626,0.52238804,0.3880597,0.37313432,8.565217,-0.03311501,2.0,1.0,67,0.011684797,0.49438202,-0.016140293329954147,0.4760400205850601,-0.03062278509605676,0.46365075185894966,0.46267931908369064,0.30185935087502,-0.0015836702659726143
2025,2,SEA,0.028033318,0.4512195,0.4390244,0.35365853,8.030303,0.028033318,8.0,2.0,82,-0.21041146,0.37333333,-0.00840331963263452,0.48211778327822685,-0.03632986836601049,0.4617063067853451,0.45505736768245697,0.30920769087970257,0.0061533034313470125
2025,3,SEA,0.16434415,0.5277778,0.28767124,0.47945204,7.7619047,0.16434415,2.0,0.0,73,-0.23953944,0.42424244,0.016469476046040654,0.5006216540932655,-0.04954985447693616,0.4644317328929901,0.43164127320051193,0.3316391948610544,0.031026099110022187
2025,4,SEA,0.060625177,0.46341464,0.3902439,0.41463414,9.115385,0.060625177,3.0,3.0,82,-0.0059085665,0.45783132,0.012399327708408237,0.4937894456088543,-0.035938051994889975,0.4598790407180786,0.4337350130081177,0.3352756928652525,0.02695595077238977
2025,5,SEA,0.2467,0.57894737,0.5064935,0.27272728,8.088235,0.2467,2.0,0.0,77,0.3388434,0.5394737,0.06738671357743442,0.5118815489113331,-0.004627220798283815,0.46012575179338455,0.42561812698841095,0.3450159542262554,0.08194333664141595
2025,6,SEA,0.039777752,0.43661973,0.4027778,0.31944445,13.37037,0.039777752,4.0,1.0,72,-0.08716789,0.3723404,0.06760455039329827,0.500367060303688,-0.031114473473280668,0.4434152878820896,0.406999833881855,0.36195800453424454,0.0821611734572798
2025,7,SEA,-0.17994992,0.42222223,0.41758242,0.35164836,8.75,-0.13597974,5.0,2.0,91,-0.2627055,0.4,0.058337230468168855,0.49650421366095543,-0.045117565896362066,0.44442880153656006,0.4053514823317528,0.36168327927589417,0.06996615952812135
